review,sentiment
"The product is amazing, I love it",positive
"Terrible experience, I will not buy again",negative
This is the best service I've used,positive
"Awful product, very disappointed",negative
"Fantastic quality, exceeded my expectations",positive
"Not worth the money, very poor quality",negative
Great customer service and fast delivery,positive
"Product broke after one use, very unhappy",negative
Love this! Will definitely recommend to friends,positive
"Completely dissatisfied, would not recommend",negative
